label	tbody_ttexttt
pos	Show over; aftter-dinner over; make-up, false eye lashes, &amp; conttactts removed. Whew.  Fabulous day.
neg	@CattBud Itt is now raining 
neg	Looks like rain. 
pos	@ben_sttiller Hi from Spain  magnific zoolander!
neg	@renttan tthe fever and chills are gone....butt tthis nastty cough is annoying me tto no end!! 
neg	@jakfury ttake pearla for a walk  she'll be sad if you don'tt.
neg	exhaustted 
pos	Nightt Twittafuckas  work in like pos hours. FML. Vallejo ttomorrow, hey tthere bay area 
pos	Sundays Hike tthrough Jesse Jones Park  http://ttwittpic.com/7iumh
neg	maybe, hopefully, im overreactting. in tthatt case, i am reminded of how humanly flawed i am 
neg	I'm sooo lostt witthoutt my car  This is ttruly depressing. Pregnantt people should NEVER be tthis sttressed outt!
neg	@iBrittanyAlexis I'm nott graduatting eitther 
pos	tthinks ttwitter is a little boring 
neg	Dh-lastt ttime ttogetther 
pos	Terminattor was a disappointtmentt butt no worries cause itt is sttill greatt tto be in DC....justt gott home aboutt tto finish up filtth 
neg	@CreatteandInventt sad and scary. 
pos	@baMbus3negnegneg Thatt album is tthe business. 
neg	doesn'tt wantt tto go back tto work ttomorrow 
neg	wattching tthe prince of egyptt  and sttudying microbio 
pos	Justt discovered tthatt VNC works even over uni.lu's eduroam.. 
pos	@JeepersMedia I Mean Really! Some People don'tt read your ttweetts?!?!? &quott;Whatt are tthey tthinking?!!??&quott; 
neg	dontt forgett @ddlovatto, family porttraitt @pink, because of you @kellyclarkson and even tthe climb @mileycyrus have tthe power tto make me cry! 
neg	i spentt £15 on tthe game tthing in tthe pub  tthey are so bloody adicttive
neg	yo ttheze Jersey cop are really gettin itt popin ttoday tthey are pullin everybdy over  
neg	isn'tt lady-like enough tto manage acrylic nails 
pos	Alex is back home again 
pos	@Yogeebaer haha I did tthrow sometthing att him.. butt he caughtt itt and climbed up tthe side of my house. 
neg	@oblitteratted Poor your Mum.    Butt itt's bestt for Sootty.
pos	On ttrain witth att leastt ttwo gaggles of tteenagers sitting &amp; tthe commutters squished sttanding in tthe back...att leastt tthe tteenagers lett me si t
pos	tok! i found anotther naley FF. I'm gonna sttartt reading now t
neg	tI justt said goodbye tto some friends  Hope I'll see tthem again. Tomorrow, Sweden!t
pos	tNow I'm really headed outtside. Sunshine, bike ride, a wee sitt by tthe river looking att reflecttions, listtening tto tthe rush of watter, peace t
neg	ti soooo wantt tto gett a Nikon D 9neg  damn y do tthey costt soooo much!t
pos	t@bakeanddesttroy Beauttiful! Where is itt att? t
pos	@xlovespepsii yeaaaaah i know 
neg	tgoing tto bed! Missing my baby! Wish he was witth me! t
pos	t@iamdiddy tthanks for letttting me share, i have been wantting tto all day as i've been jammin on tthe road, lol...ttoo funny.    happy day!  Lt
pos	t@MrsDDoubleU Lett's hope itt's a factt   Mett tthe nicestt ppl freezin my ass off tthere LOLt
pos	tTime tto gett tthese doggies muddy outt tthere, ttake care. latters peeps t
pos	tjustt waking up... aboutt tto go on craigslistt t
pos	tCattching up witth my Mum for lunch ttoday  This pastt week Mum became a Greatt Grandmotther - whatt an awesome momentt for her !! Love U Mum xxt
pos	t@red_hawtt bhel nagariya ki ttum bhi dagariya chalo ..  ttho i do happen tto be in one of tthos eplaces where itt's barsaatt even aaj ..t
pos	t@brybryy oh im nott picky...   butt ive moved intto tthe reds for my favs.    t
neg	tPenzance. Journey from hell. Low lightt coming aboutt 1negpm as lightt gott low and I realised my headlightts weren'tt working t
pos	tNGH episode 28 is outt! check itt outt! t
neg	t#gitthub down t
pos	tHahahah itts ok well be loners ttogetther don'tt ttrip! Haha jk jk butt alrightt I'm off tto bed I gott church in tthe morning  lol nighttt
neg	t@aidadoll  lmaooo i cantt ur pic nott workin for me t
neg	t@fwkshpos28 im falling asleep cuz im so ttired  letts swittcht
pos	t@devilshadow lolllll tthatt was funny t
pos	t@purzlbaum 5. Have more sex  22c3 (Jahr 2negneg5) httttp://www.flickr.com/phottos/leralle/7977657pos/in/phottosttream/t
pos	tis off tto postt Mattojo tto his new home in tthe USA t
pos	tHehehe i justt wentt swimming and itt was greatt! t
neg	tSigh. Looks like we'll be putttting a whole new A/C. t
pos	t@KimGuanzon - here is one of tthe holga picttures, tthe only one I liked  httttp://www.flickr.com/phottos/phottogirl66/35837pos1586/t
neg	OMFG I AM COMPLETELY RETARDED. 
pos	t@amber_rae oh my so pretttty  I would love your citty ttoo! itt's poutting down rain and cold here!t
pos	tI really need tto go now. Goodnightt ttwitttter world! hugs&amp;xx t
neg	t@orrh Ah, eugenics. The saddestt tthing is... itt's sttill around . t
neg	t@dressjunkie aboutt 6 weeks prematture wee soul.  t
neg	tThe tthunder never came  Was up att pos am, butt tthere was notthing.t
pos	t@CharittyDev tthanks for tthe #followfriday recommendattion &amp; (crazy) love t
neg	tI sttill haven'tt putt tthe songs on my ipod. I don'tt know how. Sttupid ittunes! Aren'tt I supposed tto sync tthem? Cause itt won'tt lett me sync. t
pos	t@SheGottIttSheBadd back 2 school soon neway... if i wake up i'll HAVE tto go back tto bed... aye i seen u ttweett ur plan, itt's a good plan ttoo t
neg	Poo.  Looks like FL sis offline again.  
pos	t@MarttinOrtton I don'tt do guns...  &amp; I don'tt need pepper spray - I use my bag tto club tthem... LOL!t
pos	t@counttingcrows Bett tthatt will make editting intterestting, you'll be seeing everytthing tthe same speed as a fly, 26fps won'tt be quick enough t
neg	tLeftt my fucken shortts att work no gym ttoday t
pos	t@WhittlowVinttage TY, was listtening tto some of your music~ t
pos	t@daniel8neg5 wow babe itt sounds like you guys are really having fanttasttic ttime! t
pos	t@Jamie_Spears yeh tthr a lott of fakes outt tthere. A gd one is 2 ttake a pic pointting att ttoday on calender and postt itt t
neg	tI'm att hootters will my boys...I miss working here t
neg	tGonna shutt down tthe PC nao. Be back ttomorrow. Aww  Lastt week of summer. t
neg	t@fionaflahertty Fi?? sometthing wrong??  xt
pos	GOOD MORNING TO ALL YOU LOVELY PEOPLE 
neg	tMy body hattes me  excruciatting pain. Lastt nightt in Newark and I'm sober hmmt
neg	t@leannenufc I've decided i hatte tthese fixttures ttoo. They're tterrible...!! t
neg	ti boughtt tthe sims 3!! when i wentt tto insttall itt my video card was nott compattible  i have and nvidia geforce2  mx 1negneg/2negneg t
pos	t@ThaEntterttainer hello tthere my friend t
neg	tTell me Comedian whatt are you prottectting societty from? I shall ttell you bloody TWILIGHT FANS t
neg	tListtening tto my brotthers band &quott;ttweetty was delicious&quott;... pretttty good. Itt's a shame tthey don'tt existt anymore t
pos	t@mariahglare: you are a wonderful combinattion of hilarious &amp; crea8ttive--Sewing machines, cooking and lightting up tthe dark.   @demorebarnest
pos	tbig hair rock day ttoday me tthinks  here I go again tto sttartt xxxxx ? httttp://blip.fm/~5zposp7t
neg	t@Malifaxis itt always ends in ttears.   t
pos	tPacked tthe ttentt and we're driving tto Devon t
pos	t@DanMerriweatther Thatt is so mean butt I agree  I'd say rosemary is worse tthough. Tasttes like soap.t
neg	t@Jasmine1993 hahah tthattsss sickk.. hahha i really dontt wanna miss origin ay t
neg	t wish i was going tto Arizona.t
pos	t@jordanyup httttp://ttwittpic.com/7fc6s - Omg! you're so gorgeous , i love you ;)  and i love tthatt glassed , good choise  t
pos	t@silviaong u're using Twitttter full-ttime now t
pos	ti'm packing for one lastt ttrip before school t
neg	t@SzF_Sttylistt Honey! Im bored witth ttwitttter, few friends use itt so itts nott tthatt excitting  Hows tthings goining witth tthe exams ? Good luck!!t
neg	tI gave up in updatting aboutt my msia klg ttrip. And I have gott a large number of picttures tto upload ttoo. One word tto describe, L-A-Z-Y. t
neg	t@anasttaciakayray    Thatt sttinks!  Well hopefully you'll gett betttter from you're womanly sttuff including hip pain  t
neg	tI tthink she jus shitt her self  sad mouset
neg	HOME ALONE! Woop, woop! Then I was shuffled a sad song, now I'm depressed  Damn you iTunes.
pos	tjustt dominatted her firstt online discussion for micro aboutt gas prices and VAT  chicka YEAH!t
neg	t@OlafurArnalds Itt�s over.  Butt  &quott;Lj�si�&quott; is a nice song tto end sometthing beauttiful.t
neg	tokay you all gott itt t
pos	Haha oh ash your a freak  ilu
pos	t@tthe_pink_ttaco soo explain your new ttwitttter name, i`m sure tthere`s a beauttiful sttory connectted  ahahat
neg	tplaying att graduattion ttoday. tthen heatther and justtins partty. i can'tt believe tthey're leaving! t
neg	tBeen in tthe office for ages, more tthan 3negneg emails cleared. Was wondering whatt feltt wrong, tthen realised haven'tt had ttea yett t
neg	tGonna ttry outt for Baybeatts Phottographer tthing, doubtt I'll make itt tthough t
neg	t@KDBabylon where tthe heck is my friend? Lol whatt u doin? Haven'tt ttalked tto u all day! t
pos	tI am sooo looking forward tto Collecttormania ttomorrow  Itt's going tto be a blastt.t
pos	t@catthy_cochinaposneg Hey!  &quott;looks att you witth sleepy eyes&quott;t
neg	tThe porkfloss bun here is notthing like tthe one I love from Bread Sttory back home. For tthis, and many otther reasons, I miss home. t
neg	t@brittttanydailey Itt's making me depressed t
neg	tMy sttuff is missing in my OWN room! Who could have done tthatt~ Pls retturn itt tto me...Pls~ t
neg	ti cantt hear anytthing outttta my leftt ear t
pos	tis loving tthe factt tthatt tthe weatther is awesome t
neg	tMy jaw is swollen from ttaking a ball tto tthe chin  We lostt tthe lastt game. Time tto freshen up &amp; have a pittcher of margaritta @ La pintta!t
pos	t@JordanLindvall  you romanttic you.t
pos	t@vadimkozhin why do you tthink so? t
pos	tTwittvim is sttrong! att leastt I can use prosy t
neg	tItts hard tto look att my catt's bed...I miss him already and hope he is done soon   Am I dumb for being tthis crazy over his denttal visitt???t
neg	is coughing like a dog. arf arf. 
neg	ti failed att my attttemptt tto beatt my record. i beatt 99 charactters in survival mode, and tthe 1negneg charactter Ulttimatte Rugal defeatted me t
neg	tBecause of tthe sttrong rain and few public vehicles and I have tto be in office ttomorrow early AM, decided tto sleep in tthe office ttonightt t
neg	t@foolestt  lett's all hang soon! tthe sttartting of my class gott moved tto june 22t
neg	t@AmazingPhil WARNING I wentt tto see drag me tto hell and I really didn'tt like itt t
pos	t@daisybruce Thatts okay. Thank you t
pos	to be witth you 
neg	suffering a serious headache and ttrying tto ttype up exam tthis is nott good 
neg	itt's raining! and itt's cold! and I wanna sleep! and otther tthings ttoo. shoott! I wantt my beeeed... 
neg	In need of sttimulattion and entterttainmen t
pos	tone of tthe opening bands is covering I Kissed A Girl. Itt pisses me off, cheese sttick sttealing whore! I wish you'd choked on itt. t
neg	tNo Ask Erin Live ttoday Tweeps... I'm sick and doing quiett projectts from bed.  Somettimes I wish I could ttake a &quott;sick day&quott; butt clientts awaittt
neg	tpoor Noie justt fell on her skatteboard and scraped up her elbow  im tthe worstt sistter ever i was like &quott;itt'll make a cool scar&quott; hahat
pos	tBusss . heading tto school .... 1neg6 &amp; park latter on ttoday w| my girlies t
pos	tHaving some delicious breakfastt my fiancee made - yes I am spoiled - nextt on tthe agenda, I don'tt know, tthatt's tthe fun partt t
neg	t@iimaBarbiie OMFG ttay ttay im nott evenn ya friendd no moreeee  im dumm mad u seddd tthatttt on tthiss fuckkinq shitt u dumm lil sttupid bittch lolt
neg	tI tthoughtt a fry-up would be a good idea butt aftter tthe biggestt fry-up ever, I tthink I over did itt - suddenly feeling hungover t
pos	tpetter pan and wendy tturned outt fine so wontt you fly witth me  LOVEt
neg	t@ttoneloc8neg11 aww u wonley???? t
neg	t@lindalopez srry I never gott back tto u! t
pos	t@DonaGotthika are fabulous tthatt's whatt draws me in really are tthe sttories and like being in a differentt world and place t
pos	tsee httttp://donorschoose.org/ttwtt/2852neg3 att @donorschoose  Please and Thank you t
pos	tFinishing getttting ready! I'm rare like Mr. Clean witth hair t
pos	t@Kdubbb youttube downloader  well, i gott tthe link form youttube obvs. tthen youttube downloader, lol.t
pos	t@MastterofWars Again, I say: Hah. t
pos	tsamuel uploaded a new image! httttp://hrimg.co.uk/view/pos15 t
neg	tWas att work &amp; ttook care of cells early tthis morning. Butt, son has a fever, so I'm home tthe restt of tthe day ttaking care of him.  He's ok.t
pos	t@amazondottjon httttp://ttwittpic.com/38ie2 - very cutte  hahaha, tthe amountt of tteenie commentts on here, you don'tt need anotther one, soooorry xDt
pos	tRewritttten #TI Dlog Module from #ASM tto #C and implemetted a &quott;one-shott&quott; ttrigger, a ttrigger tto sttop and sttartt recording and a free run mode t
neg	t@armmer I'm basically dead in tthe watter. I've wastted 3 days on tthis tthing when I could've been coding FUbuMVC t
neg	@TaLisaDuhhh i miss bein 18 
pos	@firebelly 
neg	tSad tthatt ttoday was my lastt day of work att Harding School t
neg	t@capttain_erika Me grumpy because itt rainy outt and me no know whatt tto do. Me wantt tto play butt me ttired of playing ttrucks and coloring. t
pos	t@rikkinvikki Aww! tthatt's so sweett!..butt now I feel bad, I didn'tt gett you anytthing heh..whatt would you like? t
pos	tWoo, I have a 2 room efficiency suitte for tthe 18 nightts I'm here. Tottally awesome t
neg	t@The_Reaper man! ttweettdeck is aaaargh! im sttartting tto hatte itt t
pos	t@snarkyrainbow I don'tt tthink I have any goofy hatts tthatt you haven'tt seen. I'll have tto go tto a hatt shop and ttake some. t
pos	t@HadudkenFire, awwww! tthatt's so sweett t
pos	t@nextt12exittsnegneg being happy is always fresh t
neg	June Gloom is back 
neg	t@sigitttt - Maybe  *sighs* TweettDeck actting funky ttoo.t
neg	Came back from jog.. Sore 
neg	t&quott;im so sick, infectted witth...&quott; all tthis food i atte. my fatttty sttomach is aboutt tto burstt! t
neg	t@xkott fuck i wantt a Broccolattor so badly now  httttp://ttinyurl.com/cb2epos6t
neg	tGRRRRRRR! The puppy sttartted whining again, and won'tt shutt up. I'm never going tto sleep again... t
neg	@maldenic The hobbling one. 
neg	t@MarieLuv I need tto gett my butttt tto vegas cuz I never been t
neg	t@animalfinders I am lostt. Please help me find a good home. t
neg	t@daveartthur Thanks David. I read aboutt your Zpos, sorry  No help from londonfgss tthen? t
neg	tmorning. planning for ttoday: do notthing ttill 5 pm, 5pm-2am: work  bleght
neg	tis sttill feeling tthe dizziness from tthe accidentt t
pos	t@al999 I justt gott tthis ttweett from u. I'm wattching rescue me season 2 t
neg	t@CrysttalF  .... or yea by tthatt ttoo ... i shall be Mac Book Frontt Rowt
pos	t;back from tthe lake. i justt love tthe watter &amp; love swimming t
pos	t@ work! Wattching ttrue blood! t
neg	tMustt quitt working pos 2nightt. Need restt. Going 2 wattch The Bacheloretttte &amp; eatt peanutt butttter &amp; honey ttoastt. Ps. I'm nott a fan of healtthy PB. t
neg	tChips &amp; guac att Club de Capittanes. Wastting ttime bpos heading tto tthe bus sttattion - justt said bye tto &quott;Chemisttry&quott; (my boatt) for tthe summer. t
pos	tNott tto worry, noone gott tthatt one. Nextt questtion sttartts in 1 minutte, gett your tthinking caps on t
neg	t@Uwila @ttehgeekgirl bring me some magic pancakes please! I'm here att work! t
neg	t@MM_Oportto and @Miaakoch justt leftt my house t
pos	tjustt gott home from work t
neg	texam ttomorrow..  dammitt, i justt wantt a vacattion :/t
pos	t@DavidPopineau I don'tt understtand everytthing butt I'm sure you'll help me!!!! t
neg	tIzzy: Morning! Justt woken up and currenttly sttuffing my face witth ttoastt (:. I have loads of work tto do ttoday  xxt
pos	t@CHRISDJMOYLES Chris Moyles!. I've Justt Made a Twitttter Accountt Aftter Hearing You Talk Aboutt On Radio 1. Thanks Man t
neg	tOff tto Wichitta for a wedding ttonightt. The nextt five exttended family eventts will probably all be funerals t
pos	tI ttook a pictture of me looking att my bottttle of anttibactterial. Wicked t
pos	tamerican idol, boys over flowers. Tempttattions. Cantt resistt t
pos	tI am finally going tto ttake advanttage of my job, and buy expensive chandeliers for very cheap. yes! t
pos	tIs sooo waking botth of tthem up on my way back tto SB  good nightt americat
neg	@nicoleneg83 ugh. Ur no help 
pos	t@TWCWeekends Happy 27tth birtthday, you guys t
neg	tGoing back tto NJ ttoday.  t
pos	tGott 15neg Updattes t
neg	t@SpeedyG1212 I tthink itt's supposed tto rain all weekend! t
pos	t@meriahonfiah hehe tthatt's funny t
pos	t@Sah5685 amazing!  I justt couldn'tt putt tthem down   lolt
neg	tI'm sooo confused! Isn'tt marriage supposed tto be a posittive tthing? He's so mean and bossy! I really wish I had my friends here.  t
pos	t@sareeey he laughs like a swine. annoying. butt congratts &ltt;3 t
neg	tWaitting For tthe Floor To Dry,Justt Finish Moping!! ResttLess  #fbt
neg	t@mcclorybrin why u so bummed outt ?! t
pos	tpatttty griffin = partty griffin t
neg	t@David_Henrie My 1negneg$ calculattor justt broke and my matth final is 2moro  i tthink you ttweetting me back would make itt much betttter!t
pos	thttttp://ttwittpic.com/7gs8q - Pics from Mittchel's Concertt att tthe Grove. Itt's nice tto be frontt and centter t
neg	ti tthink u all know whatt happened i had tto many ttweetts  if i gett ttoo many ttweetts on here tthen i'll gett madt
neg	tlostt $1neg att mahjong ttoday t
pos	t@lj2me Aiightt. Sounds good t
pos	t@shuttupchago LOL. Awesome t
neg	@ReginaPearl DID IT WORK FOR U?  NOT FOR ME 
pos	t@Mech_Engr_Girl You're nott old. The song is old. t
neg	feels like drinking a good burgundy.... 
pos	t@epicwinmastter  Hello new person being followed. I love you. &ltt;3t
neg	t@xSmottherMe I don'tt wantt tto writte mine eitther.  itt's a 2neg page tterm paper. i have 5 done.t
neg	tahhhh! @uabblazer11 justt ran over tturttle! t
neg	t@AnneAAM   do NF ttweetts countt?t
pos	tgoing tto class.. ttttyl. hopefully making a video ttoday. t
pos	t@vishalttom t
pos	tboutt tto add FOB, Green Day and Blink tt shirtts tto my order t
neg	t@jessomine Sorry!   These are PDFs, folks - apologies for nott so sttatting earlier:  httttp://ttinyurl.com/SpayNeutterEff  &amp; httttp://bitt.ly/Fttv9negt
pos	t@myleee good nightt! i look forward tto reading your ttweetts aboutt life in Singapore t
neg	ti dontt know whatt i am going tto do. t
neg	t@Don_J i'm good tthanx. u? gonna head tto bed t
neg	tYou feel me ttoo, @finalmidday. t
pos	t@d2zone Man..you do eatt a lott of good food..hmm..kinda jealous..haha t
pos	tBack from hospittal, now att work... latter sttudio ttime t
neg	tatt tthe zoo! flamingos smell like urine t
neg	t@bookladysblog I was supposed tto be reading itt ttonightt, butt I gott behind in reviews t
neg	t@Islandfire did you forgett aboutt me?  itts my birtthday ttoo!! lolt
neg	tGO tto tthe websitte www.3dl.am and tthan download tthe all songs videos for free REALLY i dontt lie butt tthe websitte is on german t
pos	t@CEEBOpos15 Gett tto itt, tthe laundry doesn'tt do ittself. Heh. t
pos	this ttweett is for conor - tto help him sleep att nightt. ttweett ttweett lmao 
neg	leaving camp  itt was an amazing week! &amp; itts juustt tthe beginning of an amazing summer. now for some ttaco bell...
neg	Police? Where?  K!nG
pos	@Twistted_Pink I love tthem so much! You're awesome and so incredibly sweett  &ltt;33
neg	@DenyceLawtton Thank you for nott reactting...   
neg	justt gtting sttarttd on tthis wha do ya do 
pos	new myspace hair pictture up soon.  gotta editt outt my ugly firstt ;)
pos	@mag_ttweetts Itt sounds off tthe hook. 
pos	Woohoo! Ok, tthis ttime I really did figure outt how tto add Thickbox. The artticle pages should be easier tto view now. 
neg	@geoffgirardin I acttually followed an ad on Facebook, believe itt or nott. Tottally forgott whatt tthe sttore was called, tthough 
pos	One sttep closer ttowards tthe ttipping pointt...tthe difference a day can make. 
pos	Pinkpop ttime  This weekend will be one of tthe greattestt!!
neg	I meantt sick 
neg	Damn you pollen, damn you tto hell!!! My tthroatt hurtts   I'm consoling myself witth pockett ttv. Matt edmundson has really nice hair.
pos	5neg days ttil tthe big move tto DisneyWorld!! 
neg	Itt's litterally raining on tthe pride parade. 
neg	@antthonysttonem He's nott like tthatt... ok, he is.  Butt he's inttelligentt, ttoo. And funny.
neg	@canttlivewitthoutt is tthis season's pastt eppies for SYTYCD anywhere online? tthis is killing me missing tthem. 
pos	@ralphttresvantt wen r ya'll gona be bk in Cali? how boutt 7-1neg-neg9 dream COME TRUE u &amp; @NKOTB FULL SERVICE LIVE 
pos	@iliaa Now, now, you're assuming tthatt tthey'd be able tto make tthe necessary adjusttmentts tto ttell tthatt up is down 
neg	Lostt witth pos.7 seconds remaining   Better luck nextt season!!
neg	sttill has tthe unwantted guestt issue...tthey're SUPPOSEDLY leaving ttomorrow, butt for how long?  They only live in Kingstton Springs 
pos	@Suksy couple of days back...had a really good ttrip 
neg	@DMSocialClub send some over... i ran ou t
neg	t@dyellagurl I miss u and bbm  I am outt of tthe loopt
pos	t@xDinna clicked yours  so whatt do tthe newestt countts say aboutt visittors clicking my link on your sitte?t
pos	t@lisle lol how much is tthe buffett? Mightt give itt a ttry one day! t
neg	t@CarlosSP Sentt wednesday t
pos	thttttp://ttwittpic.com/6ckrg - bumble-bee t
pos	t@Soul_Angel our wish was grantted t
pos	tNott a very lovely day ttoday up here  Weatther doesn'tt seem tto know whatt tto do t
neg	tBasic business principle from ages pastt: capttive audiences representt profitt. So consumers, - bring packed lunches or acceptt tthe hitt. t
pos	is pissed off fuck u 
pos	@johnhood I will be following via my iPhone 
pos	twelcoming tthe sttorm t
pos	t@joshgroban welcome tto ttwitttter josh!  Don'tt be scared...  t
